Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,ISIN
FRT,FEDERAL REALTY INVESTMENT TRUST RE,Real Estate,Equity,122835918.16,0.01,"122,835,918.16",1050598.0,116.92,United States,NYSE,USD,1.0,USD,-,
UHS,UNIVERSAL HEALTH SERVICES INC CLAS,Health Care,Equity,122627236.74,0.01,"122,627,236.74",710553.0,172.58,United States,NYSE,USD,1.0,USD,-,
HSIC,HENRY SCHEIN,Health Care,Equity,116546243.76,0.01,"116,546,243.76",1290942.0,90.28,United States,NASDAQ,USD,1.0,USD,-,
FOX,FOX CLASS B,Communication,Equity,111988304.4,0.01,"111,988,304.40",1854111.0,60.4,United States,NASDAQ,USD,1.0,USD,-,
MGM,MGM RESORTS INTERNATIONAL,Consumer Discretionary,Equity,110288348.92,0.01,"110,288,348.92",2566636.0,42.97,United States,NYSE,USD,1.0,USD,-,
ARE,ALEXANDRIA REAL ESTATE EQUITIES RE,Real Estate,Equity,108971700.08,0.01,"108,971,700.08",2084386.0,52.28,United States,NYSE,USD,1.0,USD,-,
WYNN,WYNN RESORTS,Consumer Discretionary,Equity,104693236.78,0.01,"104,693,236.78",1118398.0,93.61,United States,NASDAQ,USD,1.0,USD,-,
NCLH,NORWEGIAN CRUISE LINE HOLDINGS,Consumer Discretionary,Equity,101370178.35,0.01,"101,370,178.35",6088299.0,16.65,United States,NYSE,USD,1.0,USD,-,
MOS,MOSAIC,Materials,Equity,101006611.2,0.01,"101,006,611.20",4251120.0,23.76,United States,NYSE,USD,1.0,USD,-,
BLDR,BUILDERS FIRSTSOURCE INC,Industrials,Equity,96411938.48,0.01,"96,411,938.48",1434488.0,67.21,United States,NYSE,USD,1.0,USD,-,
AOS,A O SMITH,Industrials,Equity,92484039.9,0.01,"92,484,039.90",1492882.0,61.95,United States,NYSE,USD,1.0,USD,-,
TAP,MOLSON COORS BREWING CLASS B,Consumer Staples,Equity,89111989.8,0.01,"89,111,989.80",2139030.0,41.66,United States,NYSE,USD,1.0,USD,-,
ERIE,ERIE INDEMNITY CLASS A,Financials,Equity,88133584.08,0.01,"88,133,584.08",339707.0,259.44,United States,NASDAQ,USD,1.0,USD,-,
HRL,HORMEL FOODS CORP,Consumer Staples,Equity,83062692.16,0.01,"83,062,692.16",3903322.0,21.28,United States,NYSE,USD,1.0,USD,-,
DVA,DAVITA INC,Health Care,Equity,76601245.76,0.01,"76,601,245.76",428227.0,178.88,United States,NYSE,USD,1.0,USD,-,
TTD,TRADE DESK INC CLASS A,Communication,Equity,76406206.36,0.01,"76,406,206.36",5693458.0,13.42,United States,NASDAQ,USD,1.0,USD,-,
BFB,BROWN FORMAN CLASS B,Consumer Staples,Equity,61240244.56,0.01,"61,240,244.56",2244877.0,27.28,United States,NYSE,USD,1.0,USD,-,
NWS,NEWS CLASS B,Communication,Equity,56741827.24,0.01,"56,741,827.24",1606507.0,35.32,United States,NASDAQ,USD,1.0,USD,-,
PSKY,PARAMOUNT SKYDANCE CORP CLASS B,Communication,Equity,45072730.8,0.01,"45,072,730.80",4173401.0,10.8,United States,NASDAQ,USD,1.0,USD,-,
HOLX,HOLOGIC INC,Health Care,Equity,28433.88,0.0,"28,433.88",2843388.0,0.01,United States,NO MARKET (E.G. UNLISTED),USD,1.0,USD,-,
